UMAP1	UMAP2	driving_feats	labels	nSBM_labels	residuals	residuals_sign	observed	predicted	scaled_E25	scaled_E2	scaled_E1	scaled_telomere	scaled_ampl	scaled_del	shap_E25	shap_E2	shap_E1	shap_telomere	shap_ampl	shap_del	GC_scaled	GC_shap	bin	start	end	chr	good_residual
-3.5281343	6.9679112	Centromere_Length	1	43	-0.0012180772298613224	0	0.115034702730771	0.11625277996063232	0.3910022479975704	-0.3514819180423883	-0.588995714741491	-0.14043528694579369	-0.4425580831454288	0.2380704927079478	0.0013881039	-0.030239448	0.011059985	0.009475866	-0.008416611	0.010803848	1.0077283637261096	-0.006663789	1_38	37037223	38038228	1	False
-3.7703025	6.777768	Length_Counts.E25	1	43	0.004583532020389256	0	0.0124514485075466	0.007867916487157345	-1.7495742031902533	-0.27134160647466643	0.18260134438166345	-0.06458235620469602	-0.27351525706720453	0.08150289038204385	-0.0373198	-0.035352614	-0.025639042	0.0041099046	0.0031444107	0.011127098	0.41101604228752453	-0.0067629186	1_40	39039235	40040240	1	True
-3.7281353	6.7331305	Length_Counts.E25	1	43	-0.03515791312497177	0	-0.0629402117494873	-0.027782298624515533	-1.447768721331057	1.6319907932587288	0.8577487711144236	-0.026655890834147194	-0.32181320737526864	0.03453260968427266	-0.04026942	-0.034395345	-0.025459407	0.0055788453	0.0031947738	0.014369545	0.8632346781859773	0.007358255	1_41	40040241	41041246	1	True
-3.7923367	6.6798286	Length_Counts.E25	1	43	-0.08298375542138012	0	-0.176098489117364	-0.09311473369598389	-1.0779022206868678	0.6703070544460659	0.3272757929672549	0.011270574536401635	-0.2976642322212366	0.06584613014945345	-0.037768763	-0.037043188	-0.023756627	0.004597787	0.0041899523	0.011546818	1.7054371162551538	0.0005874499	1_42	41041247	42042252	1	True
-3.511567	6.9532323	Length_Counts.E25	1	10	-0.05634197035462579	0	-0.132955098539898	-0.07661312818527222	-0.9459473862740196	1.0710086122846754	1.629345830237578	0.08712350527749929	-0.2493662819131726	0.08933127049833917	-0.03616673	-0.03422631	-0.027937837	0.010244367	0.007488851	0.0102544995	1.30913096776732	-0.0040516276	1_44	43043259	44044264	1	True
-3.325578	7.1357427	Centromere_Length	1	10	0.038106862851923703	0	-0.012108828476125	-0.050215691328048706	-1.7376714435787126	0.7905175217976488	1.0506480358952122	0.12504997064804813	-0.33388769495228465	0.050189369916863055	-0.034137696	-0.030581934	-0.026760614	0.0070425104	0.007799266	0.017554073	1.6707083383712649	-0.008073476	1_45	44044265	45045270	1	False
-2.9637253	7.2182074	Centromere_Length	1	10	0.013280376492197182	0	-0.063514970542734	-0.07679534703493118	-0.35321470348126816	2.233043130016643	2.1598188083847467	0.16297643601859696	-0.42444635177990475	0.1989285921264717	-0.03016396	-0.026326185	-0.02273272	0.006977142	-0.0051917424	0.014388445	1.4609936401493326	-0.0070834556	1_46	45045271	46046276	1	False
-3.42324	7.018586	Length_Counts.E3	1	10	0.0802968197830935	0	0.128974759704711	0.04867793992161751	0.5618872724746096	0.06925471768815165	-0.39609644996070237	0.27675583213024346	-0.44859532693393683	0.19110021201017663	-0.0066534155	-0.030447071	-0.012365954	0.024471194	-0.010866621	0.015442879	-0.012361465527262997	-0.014352033	1_49	48048289	49049294	1	True
-3.3994424	6.667388	Length_Counts.E25	1	10	-0.08228015991885584	0	-0.239708826868128	-0.15742866694927216	-1.1643494149217044	0.14939502925587356	0.2308261605768606	0.3905352282418899	-0.44859532693393683	0.07367451026574877	-0.03613638	-0.030712435	-0.026175678	0.011062043	-0.0066947094	0.011957633	-0.312611889081331	-0.02040261	1_52	51051307	52052312	1	True
-3.4457805	6.4924006	Length_Counts.E1	1	10	-0.1517921741018159	0	-0.283395817399965	-0.1316036432981491	-2.3145717238777763	0.009149484012360229	0.7612991387240293	0.42846169361243874	-0.48481878966498493	0.08933127049833917	-0.035160396	-0.033960223	-0.0368516	0.010404691	-0.0032745886	0.010374741	0.2786129286812458	-0.015456633	1_53	52052313	53053318	1	True
